,Argentina
1991M01 [1991M01],9.817696792
1991M02 [1991M02],10.20106412
1991M03 [1991M03],9.648512089
1991M04 [1991M04],6.336278497
1991M05 [1991M05],8.075307391
1991M06 [1991M06],8.128898751
1991M07 [1991M07],7.355860933
1991M08 [1991M08],6.743477616
1991M09 [1991M09],7.599181391
1991M10 [1991M10],6.518893362
1991M11 [1991M11],6.394682584
1991M12 [1991M12],7.729807668
1992M01 [1992M01],7.366429744
1992M02 [1992M02],6.631833292
1992M03 [1992M03],7.565564488
1992M04 [1992M04],7.009534512
1992M05 [1992M05],7.792451835
1992M06 [1992M06],7.385336689
1992M07 [1992M07],7.588871323
1992M08 [1992M08],7.669482383
1992M09 [1992M09],7.170739173
1992M10 [1992M10],7.414154173
1992M11 [1992M11],8.426548063
1992M12 [1992M12],9.077097492
1993M01 [1993M01],11.65416123
1993M02 [1993M02],12.45630941
1993M03 [1993M03],10.45406526
1993M04 [1993M04],10.18408454
1993M05 [1993M05],10.03917904
1993M06 [1993M06],9.041187903
1993M07 [1993M07],9.644139166
1993M08 [1993M08],11.38847011
1993M09 [1993M09],9.525279612
1993M10 [1993M10],9.924586213
1993M11 [1993M11],9.130739925
1993M12 [1993M12],10.02938084
1994M01 [1994M01],10.42509875
1994M02 [1994M02],9.966926473
1994M03 [1994M03],9.492393177
1994M04 [1994M04],9.30434349
1994M05 [1994M05],9.590003099
1994M06 [1994M06],9.245661835
1994M07 [1994M07],10.5760583
1994M08 [1994M08],8.865673451
1994M09 [1994M09],9.619464158
1994M10 [1994M10],9.416720794
1994M11 [1994M11],9.299903306
1994M12 [1994M12],8.758689135
1995M01 [1995M01],8.465048049
1995M02 [1995M02],7.713258901
1995M03 [1995M03],6.428929526
1995M04 [1995M04],7.595656161
1995M05 [1995M05],6.658857168
1995M06 [1995M06],8.651771469
1995M07 [1995M07],10.07728964
1995M08 [1995M08],7.96400852
1995M09 [1995M09],8.594331167
1995M10 [1995M10],8.03528976
1995M11 [1995M11],7.786927284
1995M12 [1995M12],10.43559868
1996M01 [1996M01],9.221695377
1996M02 [1996M02],10.44877684
1996M03 [1996M03],10.70098689
1996M04 [1996M04],9.563325229
1996M05 [1996M05],9.334100446
1996M06 [1996M06],9.97012899
1996M07 [1996M07],9.23501957
1996M08 [1996M08],9.163218318
1996M09 [1996M09],10.21913735
1996M10 [1996M10],8.859208567
1996M11 [1996M11],9.952852015
1996M12 [1996M12],10.75948684
1997M01 [1997M01],9.319469538
1997M02 [1997M02],10.73132775
1997M03 [1997M03],11.49479158
1997M04 [1997M04],9.206900721
1997M05 [1997M05],10.14989809
1997M06 [1997M06],10.65094192
1997M07 [1997M07],10.66407447
1997M08 [1997M08],11.21567313
1997M09 [1997M09],9.786365481
1997M10 [1997M10],10.33087583
1997M11 [1997M11],10.14198247
1997M12 [1997M12],10.92395974
1998M01 [1998M01],9.986648453
1998M02 [1998M02],11.81956188
1998M03 [1998M03],11.07255468
1998M04 [1998M04],10.47121093
1998M05 [1998M05],11.60854853
1998M06 [1998M06],11.11857319
1998M07 [1998M07],12.04391759
1998M08 [1998M08],12.59224914
1998M09 [1998M09],11.86590029
1998M10 [1998M10],12.49669631
1998M11 [1998M11],12.99045753
1998M12 [1998M12],13.91743473
1999M01 [1999M01],14.70660277
1999M02 [1999M02],15.2948444
1999M03 [1999M03],15.03967336
1999M04 [1999M04],15.3768782
1999M05 [1999M05],16.41527576
1999M06 [1999M06],14.87335684
1999M07 [1999M07],15.26458986
1999M08 [1999M08],14.49487747
1999M09 [1999M09],14.71936297
1999M10 [1999M10],15.65379839
1999M11 [1999M11],14.91208484
1999M12 [1999M12],13.68950146
2000M01 [2000M01],15.13269975
2000M02 [2000M02],14.25948794
2000M03 [2000M03],15.27282393
2000M04 [2000M04],15.22695545
2000M05 [2000M05],14.09941821
2000M06 [2000M06],16.1409153
2000M07 [2000M07],16.68717524
2000M08 [2000M08],15.10337354
2000M09 [2000M09],16.25983534
2000M10 [2000M10],15.37952864
2000M11 [2000M11],14.38262943
2000M12 [2000M12],15.77058332
2001M01 [2001M01],16.72211858
2001M02 [2001M02],15.80321145
2001M03 [2001M03],14.28484006
2001M04 [2001M04],12.70186567
2001M05 [2001M05],12.63486846
2001M06 [2001M06],15.79404209
2001M07 [2001M07],12.42524655
2001M08 [2001M08],10.55616374
2001M09 [2001M09],17.54830759
2001M10 [2001M10],15.32442149
2001M11 [2001M11],12.10393514
2001M12 [2001M12],15.60117389
2002M01 [2002M01],15.01047235
2002M02 [2002M02],18.32423054
2002M03 [2002M03],20.93303305
2002M04 [2002M04],18.41909813
2002M05 [2002M05],12.20334323
2002M06 [2002M06],14.62696603
2002M07 [2002M07],11.96358609
2002M08 [2002M08],13.08787583
2002M09 [2002M09],13.20428195
2002M10 [2002M10],12.2399497
2002M11 [2002M11],13.19857687
2002M12 [2002M12],12.80013676
2003M01 [2003M01],10.63329023
2003M02 [2003M02],10.93457208
2003M03 [2003M03],10.93752324
2003M04 [2003M04],9.2411291
2003M05 [2003M05],10.79047435
2003M06 [2003M06],11.11504136
2003M07 [2003M07],11.5228887
2003M08 [2003M08],13.01621829
2003M09 [2003M09],10.30182446
2003M10 [2003M10],9.602302105
2003M11 [2003M11],10.71670364
2003M12 [2003M12],8.987531669
2004M01 [2004M01],8.439879023
2004M02 [2004M02],9.149607049
2004M03 [2004M03],8.668554989
2004M04 [2004M04],9.002460067
2004M05 [2004M05],9.542250557
2004M06 [2004M06],9.035299882
2004M07 [2004M07],9.85903887
2004M08 [2004M08],9.628355975
2004M09 [2004M09],9.177215083
2004M10 [2004M10],9.956777159
2004M11 [2004M11],9.152559325
2004M12 [2004M12],8.883541452
2005M01 [2005M01],9.624136326
2005M02 [2005M02],9.371640127
2005M03 [2005M03],9.11740452
2005M04 [2005M04],8.288184859
2005M05 [2005M05],9.083233261
2005M06 [2005M06],8.945260268
2005M07 [2005M07],11.53839501
2005M08 [2005M08],10.37930739
2005M09 [2005M09],10.73524245
2005M10 [2005M10],11.15746168
2005M11 [2005M11],10.33451515
2005M12 [2005M12],10.60521275
2006M01 [2006M01],7.646872137
2006M02 [2006M02],7.488835968
2006M03 [2006M03],7.822331685
2006M04 [2006M04],8.311647554
2006M05 [2006M05],8.686146799
2006M06 [2006M06],9.35871968
2006M07 [2006M07],10.05061711
2006M08 [2006M08],8.986722791
2006M09 [2006M09],9.287438265
2006M10 [2006M10],9.445103831
2006M11 [2006M11],9.813688866
2006M12 [2006M12],10.80142207
2007M01 [2007M01],10.20822051
2007M02 [2007M02],10.62916068
2007M03 [2007M03],10.66523519
2007M04 [2007M04],11.84001689
2007M05 [2007M05],11.61726218
2007M06 [2007M06],12.57176206
2007M07 [2007M07],11.90538509
2007M08 [2007M08],10.07472484
2007M09 [2007M09],11.54544313
2007M10 [2007M10],10.4319118
2007M11 [2007M11],10.64573056
2007M12 [2007M12],10.9655651
2008M01 [2008M01],9.372236267
2008M02 [2008M02],9.884822522
2008M03 [2008M03],11.96419313
2008M04 [2008M04],9.488794581
2008M05 [2008M05],9.49479841
2008M06 [2008M06],9.526161633
2008M07 [2008M07],8.865210407
2008M08 [2008M08],9.823909942
2008M09 [2008M09],9.577930408
2008M10 [2008M10],9.369695206
2008M11 [2008M11],11.37923529
2008M12 [2008M12],12.42084812
2009M01 [2009M01],14.87525724
2009M02 [2009M02],14.77939519
2009M03 [2009M03],15.74681192
2009M04 [2009M04],15.45083046
2009M05 [2009M05],17.84118407
2009M06 [2009M06],13.34153309
2009M07 [2009M07],14.56164515
2009M08 [2009M08],14.95091283
2009M09 [2009M09],13.44332664
2009M10 [2009M10],13.48864866
2009M11 [2009M11],13.22559666
2009M12 [2009M12],12.46821442
2010M01 [2010M01],13.01223991
2010M02 [2010M02],11.45820497
2010M03 [2010M03],10.34140527
2010M04 [2010M04],10.86934723
2010M05 [2010M05],11.05055533
2010M06 [2010M06],10.13300297
2010M07 [2010M07],10.94331567
2010M08 [2010M08],10.23575357
2010M09 [2010M09],10.38000742
2010M10 [2010M10],11.11210929
2010M11 [2010M11],9.473869739
2010M12 [2010M12],9.136652003
2011M01 [2011M01],9.316232337
2011M02 [2011M02],9.064088516
2011M03 [2011M03],8.601969466
2011M04 [2011M04],8.768079684
2011M05 [2011M05],8.370392158
2011M06 [2011M06],8.261340689
2011M07 [2011M07],8.510147063
2011M08 [2011M08],7.166340442
2011M09 [2011M09],7.583931936
2011M10 [2011M10],7.987426573
2011M11 [2011M11],7.457006595
2011M12 [2011M12],7.300201202
2012M01 [2012M01],7.534815463
2012M02 [2012M02],8.138500992
2012M03 [2012M03],8.59433971
2012M04 [2012M04],9.446006431
2012M05 [2012M05],8.286740748
2012M06 [2012M06],8.302656887
2012M07 [2012M07],8.229330545
2012M08 [2012M08],7.959262773
2012M09 [2012M09],8.209305435
2012M10 [2012M10],7.701137048
2012M11 [2012M11],7.796295752
2012M12 [2012M12],7.436394882
2013M01 [2013M01],6.904981876
2013M02 [2013M02],6.63471948
2013M03 [2013M03],6.684441268
2013M04 [2013M04],6.080158963
2013M05 [2013M05],5.828248595
2013M06 [2013M06],6.062400789
2013M07 [2013M07],5.902105814
2013M08 [2013M08],5.729651193
2013M09 [2013M09],6.129373396
2013M10 [2013M10],5.237239152
2013M11 [2013M11],4.972674197
2013M12 [2013M12],5.215835708
2014M01 [2014M01],4.61592437
2014M02 [2014M02],4.114556941
2014M03 [2014M03],4.509657798
2014M04 [2014M04],5.026377417
2014M05 [2014M05],5.291153597
2014M06 [2014M06],5.350581323
2014M07 [2014M07],5.477782661
2014M08 [2014M08],5.580079401
2014M09 [2014M09],5.397335304
2014M10 [2014M10],5.543025912
2014M11 [2014M11],5.913913607
2014M12 [2014M12],6.406540729
2015M01 [2015M01],6.451186809
2015M02 [2015M02],6.531375565
2015M03 [2015M03],5.747969717
2015M04 [2015M04],6.643565224
2015M05 [2015M05],7.136561927
2015M06 [2015M06],6.439725416
2015M07 [2015M07],6.679589193
2015M08 [2015M08],6.771923784
2015M09 [2015M09],6.406638136
2015M10 [2015M10],5.971480804
2015M11 [2015M11],5.246959964
2015M12 [2015M12],5.138293809
2016M01 [2016M01],6.384731697
2016M02 [2016M02],5.860212264
2016M03 [2016M03],6.07249053
2016M04 [2016M04],7.47742578
